t,v_cmd,w_cmd,v_meas,w_meas,e_v,e_w,left_voltage,right_voltage,x_gt,y_gt,yaw_gt,seq_ok,status
0.016000,0.200000,0.000000,0.003171,0.000000,0.196829,0.000000,1.935200,1.935200,0.000000,0.000008,0.000000,1,0
0.032000,0.200000,0.000000,0.051491,0.000000,0.148509,0.000000,1.935992,1.935992,0.000824,0.000006,-0.000000,1,0
0.048000,0.200000,0.000000,0.103032,0.000000,0.096968,0.000000,1.936324,1.936324,0.002472,0.000005,-0.000000,1,0
0.064000,0.200000,0.000000,0.154394,0.000000,0.045606,0.000000,1.937116,1.937116,0.004943,0.000004,-0.000000,1,0
0.080000,0.200000,0.000000,0.193485,0.000000,0.006515,0.000000,1.937909,1.937909,0.008038,0.000003,-0.000000,1,0
0.096000,0.200000,0.000000,0.194264,0.000000,0.005736,0.000000,1.938241,1.938241,0.011147,0.000003,-0.000000,1,0
0.112000,0.200000,0.000000,0.194215,0.000000,0.005785,0.000000,1.939033,1.939033,0.014254,0.000002,-0.000000,1,0
0.128000,0.200000,0.000000,0.194214,0.000000,0.005786,0.000000,1.939365,1.939365,0.017361,0.000002,-0.000000,1,0
0.144000,0.200000,0.000000,0.194185,0.000000,0.005815,0.000000,1.940157,1.940157,0.020468,0.000001,-0.000000,1,0
0.160000,0.200000,0.000000,0.194212,0.000000,0.005788,0.000000,1.940949,1.940949,0.023576,0.000001,-0.000000,1,0
0.176000,0.200000,0.000000,0.194251,0.000000,0.005749,0.000000,1.941281,1.941281,0.026684,0.000001,-0.000000,1,0
0.192000,0.200000,0.000000,0.194253,0.000000,0.005747,0.000000,1.942074,1.942074,0.029792,0.000001,-0.000000,1,0
0.208000,0.200000,0.000000,0.194305,0.000000,0.005695,0.000000,1.942406,1.942406,0.032901,0.000001,-0.000000,1,0
0.224000,0.200000,0.000000,0.194318,0.000000,0.005682,0.000000,1.943198,1.943198,0.036010,0.000000,-0.000000,1,0
0.240000,0.200000,0.000000,0.194380,0.000000,0.005620,0.000000,1.943530,1.943530,0.039120,0.000000,-0.000000,1,0
0.256000,0.200000,0.000000,0.194401,0.000000,0.005599,0.000000,1.944322,1.944322,0.042230,0.000000,-0.000000,1,0
0.272000,0.200000,0.000000,0.194469,0.000000,0.005531,0.000000,1.944654,1.944654,0.045342,0.000000,-0.000000,1,0
0.288000,0.200000,0.000000,0.194494,0.000000,0.005506,0.000000,1.945446,1.945446,0.048454,0.000000,-0.000000,1,0
0.304000,0.200000,0.000000,0.194566,0.000000,0.005434,0.000000,1.945778,1.945778,0.051567,0.000000,-0.000000,1,0
0.320000,0.200000,0.000000,0.194595,0.000000,0.005405,0.000000,1.946571,1.946571,0.054680,0.000000,-0.000000,1,0
0.336000,0.200000,0.000000,0.194669,0.000000,0.005331,0.000000,1.946903,1.946903,0.057795,0.000000,-0.000000,1,0
0.352000,0.200000,0.000000,0.194699,0.000000,0.005301,0.000000,1.947695,1.947695,0.060910,0.000000,-0.000000,1,0
0.368000,0.200000,0.000000,0.194775,0.000000,0.005225,0.000000,1.948027,1.948027,0.064027,0.000000,-0.000000,1,0
0.384000,0.200000,0.000000,0.194807,0.000000,0.005193,0.000000,1.948819,1.948819,0.067144,0.000000,-0.000000,1,0
0.400000,0.200000,0.000000,0.194883,0.000000,0.005117,0.000000,1.949151,1.949151,0.070262,-0.000000,-0.000000,1,0
0.416000,0.200000,0.000000,0.194916,0.000000,0.005084,0.000000,1.949483,1.949483,0.073380,-0.000000,-0.000000,1,0
0.432000,0.200000,0.000000,0.194948,0.000000,0.005052,0.000000,1.950276,1.950276,0.076499,-0.000000,-0.000000,1,0
0.448000,0.200000,0.000000,0.195025,0.000000,0.004975,0.000000,1.950608,1.950608,0.079620,-0.000000,-0.000000,1,0
0.464000,0.200000,0.000000,0.195059,0.000000,0.004941,0.000000,1.950940,1.950940,0.082741,-0.000000,-0.000000,1,0
0.480000,0.200000,0.000000,0.195091,0.000000,0.004909,0.000000,1.951732,1.951732,0.085862,-0.000000,-0.000000,1,0
0.496000,0.200000,0.000000,0.195169,0.000000,0.004831,0.000000,1.952064,1.952064,0.088985,-0.000000,-0.000000,1,0
0.512000,0.200000,0.000000,0.195203,0.000000,0.004797,0.000000,1.952396,1.952396,0.092108,-0.000000,-0.000000,1,0
0.528000,0.200000,0.000000,0.195236,0.000000,0.004764,0.000000,1.953188,1.953188,0.095232,-0.000000,-0.000000,1,0
0.544000,0.200000,0.000000,0.195314,0.000000,0.004686,0.000000,1.953520,1.953520,0.098357,-0.000000,-0.000000,1,0
0.560000,0.200000,0.000000,0.195348,0.000000,0.004652,0.000000,1.953852,1.953852,0.101483,-0.000000,-0.000000,1,0
0.576000,0.200000,0.000000,0.195381,0.000000,0.004619,0.000000,1.954645,1.954645,0.104609,-0.000000,-0.000000,1,0
0.592000,0.200000,0.000000,0.195459,0.000000,0.004541,0.000000,1.954977,1.954977,0.107736,-0.000000,-0.000000,1,0
0.608000,0.200000,0.000000,0.195493,0.000000,0.004507,0.000000,1.955309,1.955309,0.110864,-0.000000,-0.000000,1,0
0.624000,0.200000,0.000000,0.195526,0.000000,0.004474,0.000000,1.955641,1.955641,0.113992,-0.000000,-0.000000,1,0
0.640000,0.200000,0.000000,0.195559,0.000000,0.004441,0.000000,1.956433,1.956433,0.117121,-0.000000,-0.000000,1,0
