t,v_cmd,w_cmd,v_meas,w_meas,e_v,e_w,left_voltage,right_voltage,x_gt,y_gt,yaw_gt
0.016000,0.000000,1.000000,0.003197,0.000000,-0.003197,1.000000,-0.927200,0.927200,0.000000,0.000010,0.000000
0.032000,0.000000,1.000000,0.000461,1.853801,-0.000461,-0.853801,-0.182947,0.182947,-0.000000,0.000008,0.000000
0.048000,0.000000,1.000000,0.000358,0.365876,-0.000358,0.634124,-0.780147,0.780147,-0.000000,0.000006,0.000000
0.064000,0.000000,1.000000,0.000291,1.559878,-0.000291,-0.559878,-0.300754,0.300754,-0.000000,0.000004,0.000000
0.080000,0.000000,1.000000,0.000238,0.601475,-0.000238,0.398525,-0.685391,0.685391,-0.000000,0.000003,0.000000
0.096000,0.000000,1.000000,0.000198,1.370485,-0.000198,-0.370485,-0.376601,0.376601,-0.000000,0.000002,0.000000
0.112000,0.000000,1.000000,0.000164,0.753156,-0.000164,0.246844,-0.624323,0.624323,-0.000000,0.000000,0.000000
0.128000,0.000000,1.000000,0.000141,1.248433,-0.000141,-0.248433,-0.425417,0.425417,-0.000000,-0.000001,0.000000
0.144000,0.000000,1.000000,0.000120,0.850776,-0.000120,0.149224,-0.584957,0.584957,-0.000000,-0.000002,0.000000
0.160000,0.000000,1.000000,0.000103,1.169747,-0.000103,-0.169747,-0.456825,0.456825,-0.000000,-0.000003,0.000000
0.176000,0.000000,1.000000,0.000087,0.913583,-0.000087,0.086417,-0.559568,0.559568,-0.000000,-0.000004,0.000000
0.192000,0.000000,1.000000,0.000077,1.118995,-0.000077,-0.118995,-0.477022,0.477022,-0.000000,-0.000005,0.000000
0.208000,0.000000,1.000000,0.000067,0.953968,-0.000067,0.046032,-0.543180,0.543180,-0.000000,-0.000006,0.000000
0.224000,0.000000,1.000000,0.000061,1.086237,-0.000061,-0.086237,-0.489997,0.489997,-0.000000,-0.000007,0.000000
0.240000,0.000000,1.000000,0.000054,0.979911,-0.000054,0.020089,-0.532591,0.532591,-0.000000,-0.000008,0.000000
0.256000,0.000000,1.000000,0.000051,1.065069,-0.000051,-0.065069,-0.498320,0.498320,-0.000000,-0.000008,0.000000
0.272000,0.000000,1.000000,0.000047,0.996553,-0.000047,0.003447,-0.525737,0.525737,-0.000000,-0.000009,0.000000
0.288000,0.000000,1.000000,0.000045,1.051368,-0.000045,-0.051368,-0.503647,0.503647,-0.000000,-0.000010,0.000000
0.304000,0.000000,1.000000,0.000043,1.007205,-0.000043,-0.007205,-0.521289,0.521289,-0.000000,-0.000011,0.000000
0.320000,0.000000,1.000000,0.000042,1.042476,-0.000042,-0.042476,-0.507045,0.507045,-0.000000,-0.000011,0.000000
0.336000,0.000000,1.000000,0.000041,1.013999,-0.000041,-0.013999,-0.518391,0.518391,-0.000000,-0.000012,0.000000
0.352000,0.000000,1.000000,0.000040,1.036682,-0.000040,-0.036682,-0.509200,0.509200,-0.000000,-0.000012,0.000000
0.368000,0.000000,1.000000,0.000040,1.018308,-0.000040,-0.018308,-0.516491,0.516491,-0.000000,-0.000013,0.000000
0.384000,0.000000,1.000000,0.000039,1.032885,-0.000039,-0.032885,-0.510555,0.510555,-0.000000,-0.000014,0.000000
0.400000,0.000000,1.000000,0.000039,1.021018,-0.000039,-0.021018,-0.515235,0.515235,-0.000000,-0.000014,0.000000
0.416000,0.000000,1.000000,0.000039,1.030373,-0.000039,-0.030373,-0.511395,0.511395,-0.000000,-0.000015,0.000000
0.432000,0.000000,1.000000,0.000039,1.022697,-0.000039,-0.022697,-0.514393,0.514393,-0.000000,-0.000016,0.000000
0.448000,0.000000,1.000000,0.000039,1.028690,-0.000039,-0.028690,-0.511904,0.511904,-0.000000,-0.000016,0.000000
0.464000,0.000000,1.000000,0.000039,1.023715,-0.000039,-0.023715,-0.513819,0.513819,-0.000000,-0.000017,0.000000
0.480000,0.000000,1.000000,0.000039,1.027542,-0.000039,-0.027542,-0.512200,0.512200,-0.000000,-0.000017,0.000000
0.496000,0.000000,1.000000,0.000039,1.024305,-0.000039,-0.024305,-0.513416,0.513416,-0.000000,-0.000018,0.000000
0.512000,0.000000,1.000000,0.000039,1.026738,-0.000039,-0.026738,-0.512358,0.512358,-0.000000,-0.000019,0.000000
0.528000,0.000000,1.000000,0.000039,1.024622,-0.000039,-0.024622,-0.513126,0.513126,-0.000000,-0.000019,0.000000
0.544000,0.000000,1.000000,0.000039,1.026157,-0.000039,-0.026157,-0.512428,0.512428,-0.000000,-0.000020,0.000000
0.560000,0.000000,1.000000,0.000039,1.024762,-0.000039,-0.024762,-0.512906,0.512906,-0.000000,-0.000021,0.000000
0.576000,0.000000,1.000000,0.000039,1.025719,-0.000039,-0.025719,-0.512441,0.512441,-0.000000,-0.000021,0.000000
0.592000,0.000000,1.000000,0.000040,1.024789,-0.000040,-0.024789,-0.512734,0.512734,-0.000000,-0.000022,0.000000
0.608000,0.000000,1.000000,0.000040,1.025374,-0.000040,-0.025374,-0.512419,0.512419,-0.000000,-0.000023,0.000000
0.624000,0.000000,1.000000,0.000040,1.024744,-0.000040,-0.024744,-0.512592,0.512592,-0.000000,-0.000023,0.000000
0.640000,0.000000,1.000000,0.000040,1.025089,-0.000040,-0.025089,-0.512373,0.512373,-0.000000,-0.000024,0.000000
0.656000,0.000000,1.000000,0.000040,1.024653,-0.000040,-0.024653,-0.512469,0.512469,-0.000000,-0.000024,0.000000
0.672000,0.000000,1.000000,0.000040,1.024844,-0.000040,-0.024844,-0.512313,0.512313,-0.000000,-0.000025,0.000000
0.688000,0.000000,1.000000,0.000040,1.024532,-0.000040,-0.024532,-0.512359,0.512359,-0.000000,-0.000026,0.000000
0.704000,0.000000,1.000000,0.000040,1.024625,-0.000040,-0.024625,-0.512243,0.512243,-0.000000,-0.000026,0.000000
0.720000,0.000000,1.000000,0.000040,1.024393,-0.000040,-0.024393,-0.512258,0.512258,-0.000000,-0.000027,0.000000
0.736000,0.000000,1.000000,0.000040,1.024422,-0.000040,-0.024422,-0.512168,0.512168,-0.000000,-0.000028,0.000000
0.752000,0.000000,1.000000,0.000040,1.024243,-0.000040,-0.024243,-0.512162,0.512162,-0.000000,-0.000028,0.000000
0.768000,0.000000,1.000000,0.000040,1.024231,-0.000040,-0.024231,-0.512089,0.512089,-0.000000,-0.000029,0.000000
0.784000,0.000000,1.000000,0.000040,1.024085,-0.000040,-0.024085,-0.512071,0.512071,-0.000000,-0.000029,0.000000
0.800000,0.000000,1.000000,0.000040,1.024048,-0.000040,-0.024048,-0.512009,0.512009,-0.000000,-0.000030,0.000000
0.816000,0.000000,1.000000,0.000039,1.023924,-0.000039,-0.023924,-0.511982,0.511982,-0.000000,-0.000031,0.000000
0.831999,0.000000,1.000000,0.000039,1.023870,-0.000039,-0.023870,-0.511927,0.511927,-0.000000,-0.000031,0.000000
0.847999,0.000000,1.000000,0.000039,1.023761,-0.000039,-0.023761,-0.511895,0.511895,-0.000000,-0.000032,0.000000
0.863999,0.000000,1.000000,0.000039,1.023696,-0.000039,-0.023696,-0.511845,0.511845,-0.000000,-0.000033,0.000000
0.879999,0.000000,1.000000,0.000039,1.023596,-0.000039,-0.023596,-0.511809,0.511809,-0.000000,-0.000033,0.000000
0.895999,0.000000,1.000000,0.000039,1.023525,-0.000039,-0.023525,-0.511762,0.511762,-0.000000,-0.000034,0.000000
0.911999,0.000000,1.000000,0.000039,1.023431,-0.000039,-0.023431,-0.511725,0.511725,-0.000000,-0.000035,0.000000
0.927999,0.000000,1.000000,0.000039,1.023356,-0.000039,-0.023356,-0.511680,0.511680,-0.000000,-0.000035,0.000000
0.943999,0.000000,1.000000,0.000039,1.023267,-0.000039,-0.023267,-0.511641,0.511641,-0.000000,-0.000036,0.000000
0.959999,0.000000,1.000000,0.000039,1.023190,-0.000039,-0.023190,-0.511598,0.511598,-0.000000,-0.000036,0.000000
0.975999,0.000000,1.000000,0.000039,1.023103,-0.000039,-0.023103,-0.511559,0.511559,-0.000000,-0.000037,0.000000
0.991999,0.000000,1.000000,0.000039,1.023025,-0.000039,-0.023025,-0.511517,0.511517,-0.000000,-0.000038,0.000000
1.007999,0.000000,1.000000,0.000038,1.022940,-0.000038,-0.022940,-0.511477,0.511477,-0.000000,-0.000038,0.000000
1.023999,0.000000,1.000000,0.000038,1.022861,-0.000038,-0.022861,-0.511435,0.511435,-0.000000,-0.000039,0.000000
1.039999,0.000000,1.000000,0.000038,1.022778,-0.000038,-0.022778,-0.511396,0.511396,-0.000000,-0.000039,0.000000
1.055999,0.000000,1.000000,0.000038,1.022698,-0.000038,-0.022698,-0.511355,0.511355,-0.000000,-0.000040,0.000000
1.071999,0.000000,1.000000,0.000038,1.022617,-0.000038,-0.022617,-0.511315,0.511315,-0.000000,-0.000041,0.000000
1.087999,0.000000,1.000000,0.000038,1.022537,-0.000038,-0.022537,-0.511275,0.511275,-0.000000,-0.000041,0.000000
1.103999,0.000000,1.000000,0.000038,1.022457,-0.000038,-0.022457,-0.511235,0.511235,-0.000000,-0.000042,0.000000
1.119999,0.000000,1.000000,0.000037,1.022377,-0.000037,-0.022377,-0.511195,0.511195,-0.000000,-0.000042,0.000000
1.135999,0.000000,1.000000,0.000002,1.022298,-0.000002,-0.022298,-0.511156,0.511156,-0.000000,-0.000042,0.000000
1.151999,0.000000,1.000000,0.000003,1.022219,-0.000003,-0.022219,-0.511116,0.511116,0.000000,-0.000042,0.000000
