t,v_cmd,w_cmd,v_meas,w_meas,e_v,e_w,left_voltage,right_voltage,x_gt,y_gt,yaw_gt,seq_ok,status
0.016000,0.200000,0.040000,0.003197,0.000000,0.196803,0.040000,2.042592,2.111968,0.000000,0.000010,0.000000,1,0
0.032000,0.200000,0.040000,0.051483,0.047937,0.148517,-0.007937,1.894917,1.925893,0.000824,0.000008,-0.000000,1,0
0.048000,0.200000,0.040000,0.103042,0.047937,0.096958,-0.007937,1.910350,1.941275,0.002472,0.000006,-0.000000,1,0
0.064000,0.200000,0.040000,0.154387,0.047937,0.045613,-0.007937,1.906578,1.937452,0.004943,0.000005,-0.000000,1,0
0.080000,0.200000,0.040000,0.190489,0.000000,0.009511,0.040000,1.889246,1.958725,0.007990,0.000004,0.000001,1,0
0.096000,0.200000,0.040000,0.189441,0.095874,0.010559,-0.055874,1.927827,1.920250,0.011021,0.000003,0.000003,1,0
0.112000,0.200000,0.040000,0.192373,0.000000,0.007627,0.040000,1.889402,1.958780,0.014099,0.000002,0.000001,1,0
0.128000,0.200000,0.040000,0.189325,0.095874,0.010675,-0.055874,1.927984,1.920305,0.017129,0.000002,0.000003,1,0
0.144000,0.200000,0.040000,0.192239,-0.047937,0.007761,0.087937,1.868298,1.976231,0.020204,0.000002,0.000001,1,0
0.160000,0.200000,0.040000,0.187140,0.095874,0.012860,-0.055874,1.927971,1.920498,0.023199,0.000001,0.000004,1,0
0.176000,0.200000,0.040000,0.192126,0.000000,0.007874,0.040000,1.889547,1.959028,0.026273,0.000001,0.000002,1,0
0.192000,0.200000,0.040000,0.189157,0.095874,0.010843,-0.055874,1.928128,1.920552,0.029299,0.000001,0.000004,1,0
0.208000,0.200000,0.040000,0.192118,0.000000,0.007882,0.040000,1.889703,1.959083,0.032373,0.000001,0.000002,1,0
0.224000,0.200000,0.040000,0.189127,0.000000,0.010873,0.040000,1.889628,1.959264,0.035399,0.000000,0.000005,1,0
0.240000,0.200000,0.040000,0.189039,0.095874,0.010961,-0.055874,1.928209,1.920788,0.038424,0.000000,0.000007,1,0
0.256000,0.200000,0.040000,0.192093,0.000000,0.007907,0.040000,1.889784,1.959319,0.041497,0.000000,0.000005,1,0
0.272000,0.200000,0.040000,0.189095,0.047937,0.010905,-0.007937,1.907104,1.938238,0.044523,0.000000,0.000007,1,0
0.288000,0.200000,0.040000,0.190724,0.047937,0.009276,-0.007937,1.911033,1.942116,0.047574,0.000000,0.000010,1,0
0.304000,0.200000,0.040000,0.191136,0.047937,0.008864,-0.007937,1.907261,1.938293,0.050633,0.000000,0.000012,1,0
0.320000,0.200000,0.040000,0.190768,0.000000,0.009232,0.040000,1.889928,1.959566,0.053685,0.000000,0.000014,1,0
0.336000,0.200000,0.040000,0.189051,0.095874,0.010949,-0.055874,1.928509,1.921091,0.056710,0.000000,0.000017,1,0
0.352000,0.200000,0.040000,0.192089,0.000000,0.007911,0.040000,1.890085,1.959621,0.059783,0.000000,0.000015,1,0
0.368000,0.200000,0.040000,0.189091,0.047937,0.010909,-0.007937,1.907405,1.938541,0.062809,0.000000,0.000017,1,0
0.384000,0.200000,0.040000,0.190727,0.000000,0.009273,0.040000,1.890072,1.959814,0.065860,0.000000,0.000020,1,0
0.400000,0.200000,0.040000,0.189055,0.095874,0.010945,-0.055874,1.928653,1.921338,0.068885,0.000000,0.000022,1,0
0.416000,0.200000,0.040000,0.192105,0.000000,0.007895,0.040000,1.890229,1.959869,0.071959,0.000000,0.000020,1,0
0.432000,0.200000,0.040000,0.189101,0.095874,0.010899,-0.055874,1.928810,1.921393,0.074984,0.000000,0.000023,1,0
0.448000,0.200000,0.040000,0.192107,-0.047937,0.007893,0.087937,1.869124,1.977319,0.078058,0.000000,0.000020,1,0
0.464000,0.200000,0.040000,0.187028,0.095874,0.012972,-0.055874,1.928798,1.921586,0.081051,0.000000,0.000024,1,0
0.480000,0.200000,0.040000,0.192080,0.000000,0.007920,0.040000,1.890373,1.960117,0.084124,0.000000,0.000021,1,0
0.496000,0.200000,0.040000,0.189116,0.095874,0.010884,-0.055874,1.928954,1.921641,0.087150,0.000000,0.000024,1,0
0.512000,0.200000,0.040000,0.192129,0.000000,0.007871,0.040000,1.890529,1.960171,0.090224,0.000001,0.000022,1,0
