t,v_cmd,w_cmd,v_meas,w_meas,e_v,e_w,left_voltage,right_voltage,x_gt,y_gt,yaw_gt,seq_ok,status
0.016000,0.200000,0.000000,0.003197,0.000000,0.196803,0.000000,2.077280,2.077280,0.000000,0.000010,0.000000,1,0
0.032000,0.200000,0.000000,0.051483,0.000000,0.148517,0.000000,1.912338,1.912338,0.000824,0.000008,-0.000000,1,0
0.048000,0.200000,0.000000,0.103043,0.000000,0.096957,0.000000,1.923895,1.923895,0.002472,0.000006,-0.000000,1,0
0.064000,0.200000,0.000000,0.154390,0.000000,0.045610,0.000000,1.923948,1.923948,0.004943,0.000005,-0.000000,1,0
0.080000,0.200000,0.000000,0.192189,0.000000,0.007811,0.000000,1.924001,1.924001,0.008018,0.000004,-0.000000,1,0
0.096000,0.200000,0.000000,0.192870,0.000000,0.007130,0.000000,1.924054,1.924054,0.011104,0.000003,-0.000000,1,0
0.112000,0.200000,0.000000,0.192793,0.000000,0.007207,0.000000,1.924107,1.924107,0.014188,0.000002,-0.000000,1,0
0.128000,0.200000,0.000000,0.192719,0.000000,0.007281,0.000000,1.920294,1.920294,0.017272,0.000002,-0.000000,1,0
0.144000,0.200000,0.000000,0.192282,0.000000,0.007718,0.000000,1.924182,1.924182,0.020348,0.000002,-0.000000,1,0
0.160000,0.200000,0.000000,0.192605,0.000000,0.007395,0.000000,1.924234,1.924234,0.023430,0.000001,-0.000000,1,0
0.176000,0.200000,0.000000,0.192579,0.000000,0.007421,0.000000,1.924287,1.924287,0.026511,0.000001,-0.000000,1,0
0.192000,0.200000,0.000000,0.192552,0.000000,0.007448,0.000000,1.924340,1.924340,0.029592,0.000001,-0.000000,1,0
0.208000,0.200000,0.000000,0.192531,0.000000,0.007469,0.000000,1.924393,1.924393,0.032673,0.000001,-0.000000,1,0
0.224000,0.200000,0.000000,0.192516,0.000000,0.007484,0.000000,1.924446,1.924446,0.035753,0.000000,-0.000000,1,0
0.240000,0.200000,0.000000,0.192505,0.000000,0.007495,0.000000,1.924499,1.924499,0.038833,0.000000,-0.000000,1,0
0.256000,0.200000,0.000000,0.192497,0.000000,0.007503,0.000000,1.924551,1.924551,0.041913,0.000000,-0.000000,1,0
0.272000,0.200000,0.000000,0.192492,0.000000,0.007508,0.000000,1.924604,1.924604,0.044993,0.000000,-0.000000,1,0
0.288000,0.200000,0.000000,0.192489,0.000000,0.007511,0.000000,1.924657,1.924657,0.048072,0.000000,-0.000000,1,0
0.304000,0.200000,0.000000,0.192487,0.000000,0.007513,0.000000,1.924710,1.924710,0.051152,0.000000,-0.000000,1,0
0.320000,0.200000,0.000000,0.192487,0.000000,0.007513,0.000000,1.920897,1.920897,0.054232,0.000000,-0.000000,1,0
0.336000,0.200000,0.000000,0.192108,0.000000,0.007892,0.000000,1.924785,1.924785,0.057306,0.000000,-0.000000,1,0
0.352000,0.200000,0.000000,0.192479,0.000000,0.007521,0.000000,1.924838,1.924838,0.060385,0.000000,-0.000000,1,0
0.368000,0.200000,0.000000,0.192490,0.000000,0.007510,0.000000,1.924890,1.924890,0.063465,-0.000000,-0.000000,1,0
0.384000,0.200000,0.000000,0.192493,0.000000,0.007507,0.000000,1.924943,1.924943,0.066545,-0.000000,-0.000000,1,0
0.400000,0.200000,0.000000,0.192496,0.000000,0.007504,0.000000,1.924996,1.924996,0.069625,-0.000000,-0.000000,1,0
0.416000,0.200000,0.000000,0.192500,0.000000,0.007500,0.000000,1.925049,1.925049,0.072705,-0.000000,-0.000000,1,0
0.432000,0.200000,0.000000,0.192504,0.000000,0.007496,0.000000,1.925102,1.925102,0.075785,-0.000000,-0.000000,1,0
0.448000,0.200000,0.000000,0.192509,0.000000,0.007491,0.000000,1.925154,1.925154,0.078865,-0.000000,-0.000000,1,0
0.464000,0.200000,0.000000,0.192513,0.000000,0.007487,0.000000,1.925207,1.925207,0.081946,-0.000000,-0.000000,1,0
0.480000,0.200000,0.000000,0.192518,0.000000,0.007482,0.000000,1.921394,1.921394,0.085026,-0.000000,-0.000000,1,0
0.496000,0.200000,0.000000,0.192143,0.000000,0.007857,0.000000,1.925282,1.925282,0.088100,-0.000000,-0.000000,1,0
0.512000,0.200000,0.000000,0.192516,0.000000,0.007484,0.000000,1.925335,1.925335,0.091180,-0.000000,-0.000000,1,0
0.528000,0.200000,0.000000,0.192530,0.000000,0.007470,0.000000,1.925388,1.925388,0.094261,-0.000000,-0.000000,1,0
0.544000,0.200000,0.000000,0.192535,0.000000,0.007465,0.000000,1.925441,1.925441,0.097341,-0.000000,-0.000000,1,0
