t,v_cmd,w_cmd,v_meas,w_meas,e_v,e_w,left_voltage,right_voltage,x_gt,y_gt,yaw_gt
0.016000,0.200000,0.100000,0.003171,-0.000000,0.196829,0.100000,2.070720,2.164480,0.000000,0.000008,0.000000
0.016000,0.200000,0.100000,0.003171,-0.000000,0.196829,0.100000,2.070720,2.164480,0.000000,0.000008,0.000000
0.032000,0.200000,0.100000,0.051480,0.093333,0.148520,0.006667,1.859159,1.952983,0.000824,0.000006,0.000000
0.032000,0.200000,0.100000,0.051480,0.093333,0.148520,0.006667,1.859159,1.952983,0.000824,0.000006,0.000000
0.048000,0.200000,0.100000,0.103048,0.093477,0.096952,0.006523,1.880271,1.974157,0.002472,0.000005,0.000000
0.048000,0.200000,0.100000,0.103048,0.093477,0.096952,0.006523,1.880271,1.974157,0.002472,0.000005,0.000000
0.064000,0.200000,0.100000,0.154392,0.093531,0.045608,0.006469,1.878193,1.972142,0.004943,0.000004,0.000000
0.064000,0.200000,0.100000,0.154392,0.093531,0.045608,0.006469,1.878193,1.972142,0.004943,0.000004,0.000000
0.080000,0.200000,0.100000,0.187700,0.093594,0.012300,0.006406,1.878429,1.972439,0.007946,0.000003,0.000000
0.080000,0.200000,0.100000,0.187700,0.093594,0.012300,0.006406,1.878429,1.972439,0.007946,0.000003,0.000000
0.096000,0.200000,0.100000,0.188321,0.093654,0.011679,0.006346,1.878434,1.972505,0.010959,0.000003,0.000000
0.096000,0.200000,0.100000,0.188321,0.093654,0.011679,0.006346,1.878434,1.972505,0.010959,0.000003,0.000000
0.112000,0.200000,0.100000,0.188239,0.093715,0.011761,0.006285,1.878462,1.972593,0.013971,0.000002,0.000000
0.112000,0.200000,0.100000,0.188239,0.093715,0.011761,0.006285,1.878462,1.972593,0.013971,0.000002,0.000000
0.128000,0.200000,0.100000,0.188165,0.093775,0.011835,0.006225,1.878488,1.972679,0.016981,0.000002,0.000000
0.128000,0.200000,0.100000,0.188165,0.093775,0.011835,0.006225,1.878488,1.972679,0.016981,0.000002,0.000000
0.144000,0.200000,0.100000,0.188105,0.093834,0.011895,0.006166,1.878514,1.972764,0.019991,0.000001,0.000000
0.144000,0.200000,0.100000,0.188105,0.093834,0.011895,0.006166,1.878514,1.972764,0.019991,0.000001,0.000000
0.160000,0.200000,0.100000,0.188058,0.093894,0.011942,0.006106,1.878541,1.972849,0.023000,0.000001,0.000000
0.160000,0.200000,0.100000,0.188058,0.093894,0.011942,0.006106,1.878541,1.972849,0.023000,0.000001,0.000000
0.176000,0.200000,0.100000,0.188021,0.093952,0.011979,0.006048,1.878567,1.972934,0.026008,0.000001,0.000000
0.176000,0.200000,0.100000,0.188021,0.093952,0.011979,0.006048,1.878567,1.972934,0.026008,0.000001,0.000000
0.192000,0.200000,0.100000,0.187992,0.094010,0.012008,0.005990,1.878594,1.973019,0.029016,0.000001,0.000000
0.192000,0.200000,0.100000,0.187992,0.094010,0.012008,0.005990,1.878594,1.973019,0.029016,0.000001,0.000000
0.208000,0.200000,0.100000,0.187970,0.094067,0.012030,0.005933,1.878621,1.973103,0.032024,0.000001,0.000000
0.208000,0.200000,0.100000,0.187970,0.094067,0.012030,0.005933,1.878621,1.973103,0.032024,0.000001,0.000000
0.224000,0.200000,0.100000,0.187953,0.094123,0.012047,0.005877,1.878649,1.973187,0.035031,0.000001,0.000000
0.224000,0.200000,0.100000,0.187953,0.094123,0.012047,0.005877,1.878649,1.973187,0.035031,0.000001,0.000000
0.240000,0.200000,0.100000,0.187940,0.094180,0.012060,0.005820,1.878677,1.973270,0.038038,0.000001,0.000000
0.240000,0.200000,0.100000,0.187940,0.094180,0.012060,0.005820,1.878677,1.973270,0.038038,0.000001,0.000000
0.256000,0.200000,0.100000,0.187931,0.094236,0.012069,0.005764,1.878705,1.973354,0.041045,0.000001,0.000000
0.256000,0.200000,0.100000,0.187931,0.094236,0.012069,0.005764,1.878705,1.973354,0.041045,0.000001,0.000000
0.272000,0.200000,0.100000,0.187924,0.094291,0.012076,0.005709,1.878733,1.973437,0.044052,0.000001,0.000000
0.272000,0.200000,0.100000,0.187924,0.094291,0.012076,0.005709,1.878733,1.973437,0.044052,0.000001,0.000000
0.288000,0.200000,0.100000,0.187919,0.094345,0.012081,0.005655,1.878761,1.973519,0.047058,0.000001,0.000000
0.288000,0.200000,0.100000,0.187919,0.094345,0.012081,0.005655,1.878761,1.973519,0.047058,0.000001,0.000000
0.304000,0.200000,0.100000,0.187916,0.094399,0.012084,0.005601,1.878790,1.973602,0.050065,0.000001,0.000000
0.304000,0.200000,0.100000,0.187916,0.094399,0.012084,0.005601,1.878790,1.973602,0.050065,0.000001,0.000000
0.320000,0.200000,0.100000,0.187914,0.094453,0.012086,0.005547,1.878819,1.973684,0.053072,0.000001,0.000000
0.320000,0.200000,0.100000,0.187914,0.094453,0.012086,0.005547,1.878819,1.973684,0.053072,0.000001,0.000000
0.336000,0.200000,0.100000,0.187914,0.094506,0.012086,0.005494,1.878848,1.973766,0.056078,0.000001,0.000000
0.336000,0.200000,0.100000,0.187914,0.094506,0.012086,0.005494,1.878848,1.973766,0.056078,0.000001,0.000000
0.352000,0.200000,0.100000,0.187914,0.094558,0.012086,0.005442,1.878877,1.973847,0.059085,0.000001,0.000000
0.352000,0.200000,0.100000,0.187914,0.094558,0.012086,0.005442,1.878877,1.973847,0.059085,0.000001,0.000000
0.368000,0.200000,0.100000,0.187915,0.094610,0.012085,0.005390,1.878906,1.973928,0.062092,0.000001,0.000000
0.368000,0.200000,0.100000,0.187915,0.094610,0.012085,0.005390,1.878906,1.973928,0.062092,0.000001,0.000000
0.384000,0.200000,0.100000,0.187917,0.094662,0.012083,0.005338,1.878936,1.974009,0.065098,0.000001,0.000000
0.384000,0.200000,0.100000,0.187917,0.094662,0.012083,0.005338,1.878936,1.974009,0.065098,0.000001,0.000000
0.400000,0.200000,0.100000,0.187919,0.094713,0.012081,0.005287,1.878966,1.974090,0.068105,0.000002,0.000000
0.400000,0.200000,0.100000,0.187919,0.094713,0.012081,0.005287,1.878966,1.974090,0.068105,0.000002,0.000000
0.416000,0.200000,0.100000,0.187922,0.094764,0.012078,0.005236,1.878996,1.974170,0.071112,0.000002,0.000000
0.416000,0.200000,0.100000,0.187922,0.094764,0.012078,0.005236,1.878996,1.974170,0.071112,0.000002,0.000000
0.432000,0.200000,0.100000,0.187925,0.094814,0.012075,0.005186,1.879026,1.974250,0.074119,0.000002,0.000000
0.432000,0.200000,0.100000,0.187925,0.094814,0.012075,0.005186,1.879026,1.974250,0.074119,0.000002,0.000000
0.448000,0.200000,0.100000,0.187928,0.094863,0.012072,0.005137,1.879057,1.974330,0.077125,0.000002,0.000000
0.448000,0.200000,0.100000,0.187928,0.094863,0.012072,0.005137,1.879057,1.974330,0.077125,0.000002,0.000000
0.464000,0.200000,0.100000,0.187932,0.094912,0.012068,0.005088,1.879088,1.974410,0.080132,0.000003,0.000000
0.464000,0.200000,0.100000,0.187932,0.094912,0.012068,0.005088,1.879088,1.974410,0.080132,0.000003,0.000000
0.480000,0.200000,0.100000,0.187936,0.094961,0.012064,0.005039,1.879118,1.974489,0.083139,0.000003,0.000000
0.480000,0.200000,0.100000,0.187936,0.094961,0.012064,0.005039,1.879118,1.974489,0.083139,0.000003,0.000000
0.496000,0.200000,0.100000,0.187940,0.095009,0.012060,0.004991,1.879149,1.974568,0.086146,0.000003,0.000000
0.496000,0.200000,0.100000,0.187940,0.095009,0.012060,0.004991,1.879149,1.974568,0.086146,0.000003,0.000000
0.512000,0.200000,0.100000,0.187944,0.095057,0.012056,0.004943,1.879181,1.974647,0.089153,0.000004,0.000000
0.512000,0.200000,0.100000,0.187944,0.095057,0.012056,0.004943,1.879181,1.974647,0.089153,0.000004,0.000000
0.528000,0.200000,0.100000,0.187949,0.095104,0.012051,0.004896,1.879212,1.974725,0.092161,0.000004,0.000000
0.528000,0.200000,0.100000,0.187949,0.095104,0.012051,0.004896,1.879212,1.974725,0.092161,0.000004,0.000000
0.544000,0.200000,0.100000,0.187953,0.095151,0.012047,0.004849,1.879244,1.974803,0.095168,0.000005,0.000000
0.544000,0.200000,0.100000,0.187953,0.095151,0.012047,0.004849,1.879244,1.974803,0.095168,0.000005,0.000000
0.560000,0.200000,0.100000,0.187958,0.095197,0.012042,0.004803,1.879276,1.974881,0.098175,0.000005,0.000000
0.560000,0.200000,0.100000,0.187958,0.095197,0.012042,0.004803,1.879276,1.974881,0.098175,0.000005,0.000000
0.576000,0.200000,0.100000,0.187963,0.095243,0.012037,0.004757,1.879308,1.974959,0.101183,0.000005,0.000000
0.576000,0.200000,0.100000,0.187963,0.095243,0.012037,0.004757,1.879308,1.974959,0.101183,0.000005,0.000000
0.592000,0.200000,0.100000,0.187968,0.095289,0.012032,0.004711,1.879340,1.975036,0.104190,0.000006,0.000000
0.592000,0.200000,0.100000,0.187968,0.095289,0.012032,0.004711,1.879340,1.975036,0.104190,0.000006,0.000000
0.608000,0.200000,0.100000,0.187973,0.095333,0.012027,0.004667,1.879372,1.975113,0.107198,0.000007,0.000000
0.608000,0.200000,0.100000,0.187973,0.095333,0.012027,0.004667,1.879372,1.975113,0.107198,0.000007,0.000000
0.624000,0.200000,0.100000,0.187978,0.095378,0.012022,0.004622,1.879405,1.975190,0.110205,0.000007,0.000000
0.624000,0.200000,0.100000,0.187978,0.095378,0.012022,0.004622,1.879405,1.975190,0.110205,0.000007,0.000000
0.640000,0.200000,0.100000,0.187984,0.095422,0.012016,0.004578,1.879437,1.975267,0.113213,0.000008,0.000000
0.640000,0.200000,0.100000,0.187984,0.095422,0.012016,0.004578,1.879437,1.975267,0.113213,0.000008,0.000000
0.656000,0.200000,0.100000,0.187989,0.095466,0.012011,0.004534,1.879470,1.975343,0.116221,0.000009,0.000000
0.656000,0.200000,0.100000,0.187989,0.095466,0.012011,0.004534,1.879470,1.975343,0.116221,0.000009,0.000000
0.672000,0.200000,0.100000,0.187995,0.095510,0.012005,0.004490,1.879503,1.975419,0.119229,0.000009,0.000000
0.672000,0.200000,0.100000,0.187995,0.095510,0.012005,0.004490,1.879503,1.975419,0.119229,0.000009,0.000000
0.688000,0.200000,0.100000,0.188001,0.095553,0.011999,0.004447,1.879537,1.975495,0.122237,0.000010,0.000000
0.688000,0.200000,0.100000,0.188001,0.095553,0.011999,0.004447,1.879537,1.975495,0.122237,0.000010,0.000000
0.704000,0.200000,0.100000,0.188007,0.095595,0.011993,0.004405,1.879570,1.975571,0.125245,0.000011,0.000000
0.704000,0.200000,0.100000,0.188007,0.095595,0.011993,0.004405,1.879570,1.975571,0.125245,0.000011,0.000000
0.720000,0.200000,0.100000,0.188014,0.095637,0.011986,0.004363,1.879603,1.975646,0.128253,0.000012,0.000000
0.720000,0.200000,0.100000,0.188014,0.095637,0.011986,0.004363,1.879603,1.975646,0.128253,0.000012,0.000000
