t,v_cmd,w_cmd,v_meas,w_meas,e_v,e_w,left_voltage,right_voltage,x_gt,y_gt,yaw_gt
0.016000,0.200000,0.000000,0.003197,0.000000,0.196803,-0.000000,1.916000,1.916000,0.000000,0.000010,0.000000
0.016000,0.200000,0.000000,0.003197,0.000000,0.196803,-0.000000,1.916000,1.916000,0.000000,0.000010,0.000000
0.032000,0.200000,0.000000,0.051492,0.000000,0.148508,0.000000,1.916000,1.916000,0.000824,0.000008,0.000000
0.032000,0.200000,0.000000,0.051492,0.000000,0.148508,0.000000,1.916000,1.916000,0.000824,0.000008,0.000000
0.048000,0.200000,0.000000,0.103031,0.000000,0.096969,0.000000,1.916000,1.916000,0.002472,0.000006,0.000000
0.048000,0.200000,0.000000,0.103031,0.000000,0.096969,0.000000,1.916000,1.916000,0.002472,0.000006,0.000000
0.064000,0.200000,0.000000,0.154391,0.000000,0.045609,0.000000,1.916000,1.916000,0.004943,0.000005,0.000000
0.064000,0.200000,0.000000,0.154391,0.000000,0.045609,0.000000,1.916000,1.916000,0.004943,0.000005,0.000000
0.080000,0.200000,0.000000,0.191408,0.000000,0.008592,0.000000,1.916000,1.916000,0.008005,0.000004,0.000000
0.080000,0.200000,0.000000,0.191408,0.000000,0.008592,0.000000,1.916000,1.916000,0.008005,0.000004,0.000000
0.096000,0.200000,0.000000,0.192068,0.000000,0.007932,0.000000,1.916000,1.916000,0.011078,0.000003,0.000000
0.096000,0.200000,0.000000,0.192068,0.000000,0.007932,0.000000,1.916000,1.916000,0.011078,0.000003,0.000000
0.112000,0.200000,0.000000,0.191985,0.000000,0.008015,0.000000,1.916000,1.916000,0.014150,0.000002,0.000000
0.112000,0.200000,0.000000,0.191985,0.000000,0.008015,0.000000,1.916000,1.916000,0.014150,0.000002,0.000000
0.128000,0.200000,0.000000,0.191907,0.000000,0.008093,0.000000,1.916000,1.916000,0.017220,0.000002,0.000000
0.128000,0.200000,0.000000,0.191907,0.000000,0.008093,0.000000,1.916000,1.916000,0.017220,0.000002,0.000000
0.144000,0.200000,0.000000,0.191844,0.000000,0.008156,0.000000,1.916000,1.916000,0.020290,0.000002,0.000000
0.144000,0.200000,0.000000,0.191844,0.000000,0.008156,0.000000,1.916000,1.916000,0.020290,0.000002,0.000000
0.160000,0.200000,0.000000,0.191794,0.000000,0.008206,0.000000,1.916000,1.916000,0.023359,0.000001,0.000000
0.160000,0.200000,0.000000,0.191794,0.000000,0.008206,0.000000,1.916000,1.916000,0.023359,0.000001,0.000000
0.176000,0.200000,0.000000,0.191754,0.000000,0.008246,0.000000,1.916000,1.916000,0.026427,0.000001,0.000000
0.176000,0.200000,0.000000,0.191754,0.000000,0.008246,0.000000,1.916000,1.916000,0.026427,0.000001,0.000000
