t,v_cmd,w_cmd,v_meas,w_meas,e_v,e_w,left_voltage,right_voltage,x_gt,y_gt,yaw_gt
0.016000,0.000000,2.000000,0.003171,-0.000000,-0.003171,2.000000,-1.052000,1.052000,0.000000,0.000008,0.000000
0.016000,0.000000,2.000000,0.003171,-0.000000,-0.003171,2.000000,-1.052000,1.052000,0.000000,0.000008,0.000000
0.032000,0.000000,2.000000,0.000458,2.103110,-0.000458,-0.103110,-1.048700,1.048700,-0.000000,0.000006,0.000000
0.032000,0.000000,2.000000,0.000458,2.103110,-0.000458,-0.103110,-1.048700,1.048700,-0.000000,0.000006,0.000000
0.048000,0.000000,2.000000,0.000353,2.096366,-0.000353,-0.096366,-1.045617,1.045617,-0.000000,0.000005,0.000000
0.048000,0.000000,2.000000,0.000353,2.096366,-0.000353,-0.096366,-1.045617,1.045617,-0.000000,0.000005,0.000000
0.064000,0.000000,2.000000,0.000284,2.090233,-0.000284,-0.090233,-1.042729,1.042729,-0.000000,0.000004,0.000000
0.064000,0.000000,2.000000,0.000284,2.090233,-0.000284,-0.090233,-1.042729,1.042729,-0.000000,0.000004,0.000000
0.080000,0.000000,2.000000,0.000230,2.084485,-0.000230,-0.084485,-1.040026,1.040026,-0.000000,0.000002,0.000000
0.080000,0.000000,2.000000,0.000230,2.084485,-0.000230,-0.084485,-1.040026,1.040026,-0.000000,0.000002,0.000000
0.096000,0.000000,2.000000,0.000186,2.079106,-0.000186,-0.079106,-1.037494,1.037494,-0.000000,0.000001,0.000000
0.096000,0.000000,2.000000,0.000186,2.079106,-0.000186,-0.079106,-1.037494,1.037494,-0.000000,0.000001,0.000000
0.112000,0.000000,2.000000,0.000152,2.074070,-0.000152,-0.074070,-1.035124,1.035124,-0.000000,0.000000,0.000000
0.112000,0.000000,2.000000,0.000152,2.074070,-0.000152,-0.074070,-1.035124,1.035124,-0.000000,0.000000,0.000000
0.128000,0.000000,2.000000,0.000125,2.069355,-0.000125,-0.069355,-1.032905,1.032905,-0.000000,-0.000001,0.000000
0.128000,0.000000,2.000000,0.000125,2.069355,-0.000125,-0.069355,-1.032905,1.032905,-0.000000,-0.000001,0.000000
0.144000,0.000000,2.000000,0.000105,2.064939,-0.000105,-0.064939,-1.030827,1.030827,-0.000000,-0.000001,0.000000
0.144000,0.000000,2.000000,0.000105,2.064939,-0.000105,-0.064939,-1.030827,1.030827,-0.000000,-0.000001,0.000000
0.160000,0.000000,2.000000,0.000089,2.060803,-0.000089,-0.060803,-1.028881,1.028881,-0.000000,-0.000002,0.000000
0.160000,0.000000,2.000000,0.000089,2.060803,-0.000089,-0.060803,-1.028881,1.028881,-0.000000,-0.000002,0.000000
0.176000,0.000000,2.000000,0.000076,2.056929,-0.000076,-0.056929,-1.027059,1.027059,-0.000000,-0.000003,0.000000
0.176000,0.000000,2.000000,0.000076,2.056929,-0.000076,-0.056929,-1.027059,1.027059,-0.000000,-0.000003,0.000000
0.192000,0.000000,2.000000,0.000067,2.053301,-0.000067,-0.053301,-1.025354,1.025354,-0.000000,-0.000004,0.000000
0.192000,0.000000,2.000000,0.000067,2.053301,-0.000067,-0.053301,-1.025354,1.025354,-0.000000,-0.000004,0.000000
0.208000,0.000000,2.000000,0.000061,2.049902,-0.000061,-0.049902,-1.023757,1.023757,-0.000000,-0.000005,0.000000
0.208000,0.000000,2.000000,0.000061,2.049902,-0.000061,-0.049902,-1.023757,1.023757,-0.000000,-0.000005,0.000000
0.224000,0.000000,2.000000,0.000056,2.046720,-0.000056,-0.046720,-1.022262,1.022262,-0.000000,-0.000006,0.000000
0.224000,0.000000,2.000000,0.000056,2.046720,-0.000056,-0.046720,-1.022262,1.022262,-0.000000,-0.000006,0.000000
0.240000,0.000000,2.000000,0.000053,2.043739,-0.000053,-0.043739,-1.020862,1.020862,-0.000000,-0.000006,0.000000
0.240000,0.000000,2.000000,0.000053,2.043739,-0.000053,-0.043739,-1.020862,1.020862,-0.000000,-0.000006,0.000000
0.256000,0.000000,2.000000,0.000050,2.040947,-0.000050,-0.040947,-1.019552,1.019552,-0.000000,-0.000007,0.000000
0.256000,0.000000,2.000000,0.000050,2.040947,-0.000050,-0.040947,-1.019552,1.019552,-0.000000,-0.000007,0.000000
0.272000,0.000000,2.000000,0.000048,2.038334,-0.000048,-0.038334,-1.018325,1.018325,-0.000000,-0.000008,0.000000
